826 2562
38 553 922
249 787 121
376 178 85
486 670 522
511 90 882
179 68 727
407 152 702
454 683 881
272 669 857
522 188 526
789 298 338
402 101 850
436 462 292
575 70 640
439 425 737
482 809 3
431 255 10
396 507 39
304 200 151
409 637 864
668 670 218
102 395 270
106 623 674
704 375 431
800 270 332
793 734 92
443 66 600
260 542 202
553 101 705
508 801 135
417 121 577
734 728 398
675 396 432
79 361 788
98 444 319
618 282 371
197 309 636
500 300 804
485 174 777
218 419 915
797 537 564
519 688 239
593 409 554
126 681 985
160 147 146
781 329 231
131 400 846
631 239 874
590 69 31
78 297 532
169 565 48
491 638 778
77 587 741
332 56 426
458 181 365
570 286 306
599 483 830
206 823 652
104 761 508
576 330 298
363 361 319
588 680 358
637 74 679
452 787 942
270 413 574
817 520 375
510 198 626
140 236 160
742 118 342
773 284 744
301 375 697
460 119 27
451 709 773
249 74 563
494 749 519
226 205 460
576 2 693
23 725 470
154 68 409
633 613 166
28 812 473
251 106 101
712 795 27
784 272 325
629 520 833
104 235 280
620 690 157
236 249 199
673 732 743
302 407 75
12 393 592
285 84 687
333 629 979
571 26 202
431 788 415
455 557 41
569 305 307
147 620 949
250 7 756
131 57 139
248 111 191
255 766 341
682 745 435
16 152 91
319 631 403
615 16 994
580 699 836
507 332 464
514 492 421
763 601 940
127 319 415
90 618 851
512 738 347
82 639 818
305 308 590
459 725 558
558 768 541
603 564 90
245 406 850
734 691 676
174 422 749
106 291 753
77 587 771
115 53 504
167 551 179
816 556 500
618 522 718
206 445 477
87 430 723
210 99 457
274 74 790
530 161 877
552 632 13
466 481 600
14 503 91
692 498 691
734 353 998
615 113 603
432 762 493
373 789 89
276 64 967
64 679 121
794 467 474
100 518 749
693 563 203
62 711 448
618 393 590
483 448 983
819 801 92
522 394 109
103 797 182
561 70 139
25 756 933
598 141 158
611 70 354
321 758 802
578 747 1000
132 625 103
499 672 264
68 476 952
262 316 840
605 259 47
170 46 620
459 574 200
162 153 307
804 324 316
639 490 63
17 170 680
563 446 440
589 116 702
187 525 270
120 408 885
59 54 626
628 672 338
683 741 672
247 324 933
508 293 231
332 373 102
817 239 434
250 178 981
279 690 953
273 20 144
452 622 497
29 582 244
141 436 473
675 294 875
37 81 540
31 358 117
735 207 296
300 393 668
420 795 316
422 303 221
290 439 792
592 291 404
649 636 850
814 408 275
565 49 926
361 129 306
335 605 104
147 428 233
145 219 448
224 109 557
211 538 380
52 502 293
674 494 628
360 513 788
340 441 717
444 524 457
97 167 723
9 215 935
369 237 295
513 394 9
6 293 62
64 52 200
169 122 105
585 110 563
326 626 289
439 812 235
151 429 888
54 402 948
728 18 512
236 554 145
343 591 826
177 457 305
91 621 332
109 273 413
650 270 227
334 488 547
108 478 817
142 690 634
246 460 180
